[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-11-06 23:45:11,589: Logging to: logs/2018_Nov_06/BrakeControllerBridge/23_45_11.log
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,116: packet: 'Packet(global_sequence_num=68, data=[0.35, 12.02, 3.52, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565924.1161218, timestamp=11.929692, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,217: packet: 'Packet(global_sequence_num=69, data=[0.37, 12.02, 3.92, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565924.2172592, timestamp=12.031076, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,450: packet: 'Packet(global_sequence_num=70, data=[0.35, 12.03, 3.72, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565924.3182638, timestamp=12.13142, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,451: packet: 'Packet(global_sequence_num=71, data=[0.34, 12.02, 3.32, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565924.419002, timestamp=12.232788, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,520: packet: 'Packet(global_sequence_num=72, data=[0.37, 12.02, 3.8, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565924.519957, timestamp=12.334172, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,621: packet: 'Packet(global_sequence_num=73, data=[0.35, 12.02, 3.52, 45.6, 12.02, 0, 0.0], name=brake, receive_time=1541565924.6205194, timestamp=12.434532, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,858: packet: 'Packet(global_sequence_num=74, data=[0.36, 12.02, 3.72, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565924.7220702, timestamp=12.5359, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,858: packet: 'Packet(global_sequence_num=75, data=[0.36, 12.02, 3.52, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565924.823028, timestamp=12.637284, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,925: packet: 'Packet(global_sequence_num=76, data=[0.32, 12.02, 3.52, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565924.9245934, timestamp=12.738648, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,027: packet: 'Packet(global_sequence_num=77, data=[0.38, 12.02, 3.4, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565925.0263538, timestamp=12.840036, sequence_num=0)'
